1	 2 
1	 38 
1	 75 
2	 3 
2	 39 
3	 4 
3	 40 
4	 5 
4	 41 
5	 6 
5	 42 
6	 7 
6	 43 
7	 8 
7	 44 
8	 9 
8	 45 
9	 10 
9	 46 
10	 11 
10	 47 
11	 12 
11	 48 
12	 13 
12	 49 
13	 14 
13	 50 
14	 15 
14	 51 
15	 16 
15	 52 
16	 17 
16	 53 
17	 18 
17	 54 
18	 19 
18	 55 
19	 20 
19	 56 
20	 21 
20	 57 
21	 22 
21	 58 
22	 23 
22	 59 
23	 24 
24	 25 
25	 26 
26	 27 
27	 28 
28	 29 
29	 30 
30	 31 
31	 32 
32	 33 
33	 34 
34	 35 
35	 36 
36	 37 
37	 38 
38	 39 
39	 40 
40	 41 
41	 42 
42	 43 
43	 44 
44	 45 
45	 46 
46	 47 
47	 48 
48	 49 
49	 50 
50	 51 
51	 52 
52	 53 
53	 54 
54	 55 
55	 56 
56	 57 
57	 58 
58	 59 
59	 60 
60	 61 
61	 62 
62	 63 
63	 64 
64	 65 
65	 66 
66	 67 
67	 68 
68	 69 
69	 70 
70	 71 
71	 72 
72	 73 
73	 74 
74	 75 
